movie_idx,neighbor_idx,score,rank
0,23,0.9639060434170441,1
0,2422,0.9166339754681919,2
0,3046,0.5809552946619514,3
0,4656,0.4258610293763518,4
0,3778,0.3164843725681567,5
0,3447,0.26774933763074227,6
0,4395,0.2192189468085094,7
0,4362,0.21318257571515517,8
0,642,0.21067719099696625,9
0,2251,0.2001665138913338,10
0,1928,0.19934960827714418,11
0,3086,0.19902028717570144,12
0,4551,0.19711750642620407,13
0,3469,0.19336668676199903,14
0,4896,0.18077679913685243,15
0,3407,0.18038293836378935,16
0,3328,0.179127640741595,17
0,4502,0.16911164352759403,18
0,1393,0.14980389679731404,19
0,183,0.14845270853642661,20
1,5,1.0000000000000002,1
1,831,1.0000000000000002,2
1,921,0.8237830414133414,3
1,2245,0.6791296356941969,4
1,2703,0.6587818027978611,5
1,59,0.5836383688414973,6
1,4311,0.4035133236518809,7
1,4020,0.39052423996495716,8
1,2970,0.3855197186687228,9
1,1385,0.3739548401584498,10
1,2807,0.31414529711573175,11
1,503,0.253511414181421,12
1,1401,0.1667401082011598,13
1,3307,0.16451679544356163,14
1,110,0.05225508964829918,15
1,4738,0.05208102624892063,16
1,3652,0.0507510558578568,17
1,1474,0.0503489556049954,18
1,862,0.04909688370359595,19
1,1097,0.04840951807819509,20
2,50,1.0000000000000002,1
2,100,0.924501147681036,2
2,52,0.7546957378657126,3
2,14,0.7328966192211572,4
2,426,0.6651736292207439,5
2,1443,0.6596540906603746,6
2,30,0.6469674230267352,7
2,8,0.6356349429491452,8
2,1700,0.6344894025798399,9
2,2401,0.5376338395997647,10
2,83,0.4875548975285438,11
2,2431,0.35728500370391486,12
2,4087,0.2898217079890485,13
2,2133,0.24902379191919,14
2,873,0.2315687019297015,15
2,2253,0.21901709003860406,16
2,191,0.2051575117602164,17
2,2425,0.1775018666457228,18
2,1100,0.1621626499343996,19
2,424,0.14567524194450399,20
3,7,1.0000000000000002,1
3,422,0.9569714715186262,2
3,430,0.9569714715186262,3
3,1349,0.9569714715186262,4
3,12,0.9393441804101524,5
3,2527,0.6859915835017163,6
3,4111,0.6712243662797013,7
3,2269,0.6503204631408475,8
3,1442,0.5943336423656032,9
3,2121,0.5640738717575012,10
3,4353,0.45862393746494057,11
3,4761,0.44701476947430513,12
3,4275,0.4164508072977483,13
3,576,0.3862209825867154,14
3,1584,0.35121183864089534,15
3,3714,0.2824276218870322,16
3,783,0.26722600258418405,17
3,3731,0.2664002442575336,18
3,3500,0.2511535525013838,19
3,2351,0.24467984434687387,20
4,3540,0.467495145501053,1
4,1960,0.44426388473461365,2
4,4857,0.4162623674498666,3
4,1858,0.4150556179295433,4
4,1181,0.3694719905666503,5
4,2180,0.34759852580002276,6
4,1738,0.3319088826465239,7
4,450,0.3240449211599014,8
4,453,0.3178182555400953,9
4,666,0.30476478734260537,10
4,2132,0.2904740361672549,11
4,845,0.26923152043069115,12
4,445,0.2653500822626184,13
4,1209,0.25377841411218843,14
4,1125,0.2501499005492882,15
4,871,0.24943269712742572,16
4,21,0.2475022925377507,17
4,3655,0.2422716834749343,18
4,1094,0.23882659125740133,19
4,829,0.23290113959368816,20
5,5,1.0000000000000002,1
5,831,1.0000000000000002,2
5,921,0.8237830414133414,3
5,2245,0.6791296356941969,4
5,2703,0.6587818027978611,5
5,59,0.5836383688414973,6
5,4311,0.4035133236518809,7
5,4020,0.39052423996495716,8
5,2970,0.3855197186687228,9
5,1385,0.3739548401584498,10
5,2807,0.31414529711573175,11
5,503,0.253511414181421,12
